NodeID,CPUCapacity,CPUSpeed,PowerIdle,PowerBusy
0,3,1189.2931772946604,77.58588514133685,75.7272751889839
1,5,1597.9384595498836,51.675721744770186,132.00184114200852
2,6,681.967788340379,66.83556409774195,83.70747085146513
3,7,1899.4436001125757,77.35390030014719,90.18156983460091
4,4,1758.3565909566523,79.36653755749371,146.47743356273673
5,3,782.8923712617282,47.35022268074086,116.36894752735176
6,8,816.2509881302752,77.80503230583255,109.98596992209622
7,8,1727.0272900361456,38.02109049874669,118.36886173085156
8,2,770.9711269175084,60.13810790908194,73.28440442394512
9,8,1349.236560939329,39.63203279935367,135.70572430157762
